"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 16:39:47 BST 2022","Fri Oct 21 16:39:47 BST 2022","51","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","And I should see a invalid password error message","And I should see a invalid password error message",""
"passed","Fri Oct 21 16:39:34 BST 2022","Fri Oct 21 16:39:34 BST 2022","219","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","Then I should see email id does not exist error message","Then I should see email id does not exist error message",""
"passed","Fri Oct 21 16:39:31 BST 2022","Fri Oct 21 16:39:32 BST 2022","682","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","When I navigate to password reset page","When I navigate to password reset page",""
"passed","Fri Oct 21 16:39:33 BST 2022","Fri Oct 21 16:39:34 BST 2022","856","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","And I click reset password button","And I click reset password button",""
"passed","Fri Oct 21 16:39:47 BST 2022","Fri Oct 21 16:39:47 BST 2022","0","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","","",""
"passed","Fri Oct 21 16:39:45 BST 2022","Fri Oct 21 16:39:47 BST 2022","2489","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","When I click the login button","When I click the login button",""
"passed","Fri Oct 21 16:39:42 BST 2022","Fri Oct 21 16:39:45 BST 2022","2429","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","Given I open the roomex login page","Given I open the roomex login page",""
"passed","Fri Oct 21 16:39:47 BST 2022","Fri Oct 21 16:39:47 BST 2022","125","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","","Login feature for roomex app: As an invalid user, I can not log into the roomex app","Then I should see a invalid email error message","Then I should see a invalid email error message",""
"passed","Fri Oct 21 16:39:34 BST 2022","Fri Oct 21 16:39:34 BST 2022","0","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","",""
"passed","Fri Oct 21 16:39:27 BST 2022","Fri Oct 21 16:39:31 BST 2022","4081","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","Given I open the roomex login page","Given I open the roomex login page",""
"passed","Fri Oct 21 16:39:32 BST 2022","Fri Oct 21 16:39:33 BST 2022","1114","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","","Login feature for roomex app: Scenario Outline name: when invalid email is provided on password rest page, UI throws validation error","And I enter the invalidUsername","And I enter the invalidUsername",""
